,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
1,1,Brasil,1020,Unidades,1123,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,118225,Total
2,1,Brasil,1020,Unidades,194,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111737,Federal
3,1,Brasil,1020,Unidades,407,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111738,Estadual
4,1,Brasil,1020,Unidades,522,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111739,Municipal
5,1,Brasil,1020,Unidades,1057,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,118225,Total
6,1,Brasil,1020,Unidades,191,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111737,Federal
7,1,Brasil,1020,Unidades,382,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111738,Estadual
8,1,Brasil,1020,Unidades,484,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111739,Municipal
9,1,Brasil,1020,Unidades,1036,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,118225,Total
10,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111737,Federal
11,1,Brasil,1020,Unidades,376,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111738,Estadual
12,1,Brasil,1020,Unidades,471,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111739,Municipal
13,1,Brasil,1020,Unidades,422,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,118225,Total
14,1,Brasil,1020,Unidades,35,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111737,Federal
15,1,Brasil,1020,Unidades,126,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111738,Estadual
16,1,Brasil,1020,Unidades,261,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111739,Municipal
17,1,Brasil,1020,Unidades,590,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,118225,Total
18,1,Brasil,1020,Unidades,110,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111737,Federal
19,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111738,Estadual
20,1,Brasil,1020,Unidades,291,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111739,Municipal
21,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,118225,Total
22,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111737,Federal
23,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111738,Estadual
24,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111739,Municipal
25,1,Brasil,1020,Unidades,1123,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,992,Total,118225,Total
26,1,Brasil,1020,Unidades,194,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111737,Federal
27,1,Brasil,1020,Unidades,407,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111738,Estadual
28,1,Brasil,1020,Unidades,522,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111739,Municipal
29,1,Brasil,1020,Unidades,1057,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,118225,Total
30,1,Brasil,1020,Unidades,191,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111737,Federal
31,1,Brasil,1020,Unidades,382,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111738,Estadual
32,1,Brasil,1020,Unidades,484,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111739,Municipal
33,1,Brasil,1020,Unidades,1036,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,118225,Total
34,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111737,Federal
35,1,Brasil,1020,Unidades,376,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111738,Estadual
