,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre
1,1,Brasil,1550,Milhões de Reais,3235708,1,Brasil,933,Produto Interno Bruto,202503,3º trimestre 2025
2,1,Brasil,1550,Milhões de Reais,434,1,Brasil,934,(+) Salários (líquidos recebidos do exterior),202503,3º trimestre 2025
3,1,Brasil,1550,Milhões de Reais,-115709,1,Brasil,935,(+) Rendas de propriedade (líquidas recebidas do exterior),202503,3º trimestre 2025
4,1,Brasil,1550,Milhões de Reais,3120433,1,Brasil,936,(=) Renda nacional bruta,202503,3º trimestre 2025
5,1,Brasil,1550,Milhões de Reais,6555,1,Brasil,937,(+) Outras transferências correntes (líquidas recebidas do exterior),202503,3º trimestre 2025
6,1,Brasil,1550,Milhões de Reais,3126987,1,Brasil,938,(=) Renda nacional disponível bruta,202503,3º trimestre 2025
7,1,Brasil,1550,Milhões de Reais,2657157,1,Brasil,939,(-) Despesa de consumo final,202503,3º trimestre 2025
8,1,Brasil,1550,Milhões de Reais,469830,1,Brasil,940,(=) Poupança bruta,202503,3º trimestre 2025
9,1,Brasil,1550,Milhões de Reais,575334,1,Brasil,941,(-) Formação bruta de capital,202503,3º trimestre 2025
10,1,Brasil,1550,Milhões de Reais,721,1,Brasil,6596,(+) Cessão de ativos não financeiros não produzidos (aquisições líquidas),202503,3º trimestre 2025
11,1,Brasil,1550,Milhões de Reais,31,1,Brasil,942,(+) Transferências de capital (líquidas recebidas do exterior),202503,3º trimestre 2025
12,1,Brasil,1550,Milhões de Reais,-104751,1,Brasil,943,(=) Capacidade / necessidade líquida de financiamento,202503,3º trimestre 2025
13,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre
