,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,2,%,10.1,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90687,Agropecuária - total
2,1,Brasil,2,%,1.7,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90691,Indústria - total
3,1,Brasil,2,%,11.9,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90692,Indústrias extrativas
4,1,Brasil,2,%,-0.6,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90693,Indústrias de transformação
5,1,Brasil,2,%,-1.0,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
6,1,Brasil,2,%,2.0,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90694,Construção
7,1,Brasil,2,%,1.3,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90696,Serviços - total
8,1,Brasil,2,%,0.9,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90697,Comércio
9,1,Brasil,2,%,4.2,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90698,"Transporte, armazenagem e correio"
10,1,Brasil,2,%,5.3,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90699,Informação e comunicação
11,1,Brasil,2,%,0.4,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
12,1,Brasil,2,%,2.0,1,Brasil,6561,Taxa trimestral (em relação ao mesmo período do ano anterior),202503,3º trimestre 2025,90702,Atividades imobiliárias
