,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Procedência do couro (Código),Procedência do couro
1,1,Brasil,1020,Unidades,71,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,119293,Total
2,1,Brasil,1020,Unidades,61,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92563,Matadouro frigorífico
3,1,Brasil,1020,Unidades,4,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92564,Matadouro municipal
4,1,Brasil,1020,Unidades,16,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92565,Intermediários (salgadores)
5,1,Brasil,1020,Unidades,3,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92566,Outros curtumes
6,1,Brasil,1020,Unidades,-,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,92567,Outras origens
7,1,Brasil,1020,Unidades,71,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,119293,Total
8,1,Brasil,1020,Unidades,61,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92563,Matadouro frigorífico
9,1,Brasil,1020,Unidades,4,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92564,Matadouro municipal
10,1,Brasil,1020,Unidades,16,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92565,Intermediários (salgadores)
11,1,Brasil,1020,Unidades,3,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92566,Outros curtumes
12,1,Brasil,1020,Unidades,-,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,92567,Outras origens
13,1,Brasil,1020,Unidades,71,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,119293,Total
14,1,Brasil,1020,Unidades,61,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92563,Matadouro frigorífico
15,1,Brasil,1020,Unidades,4,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92564,Matadouro municipal
16,1,Brasil,1020,Unidades,16,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92565,Intermediários (salgadores)
17,1,Brasil,1020,Unidades,3,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92566,Outros curtumes
18,1,Brasil,1020,Unidades,-,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,92567,Outras origens
19,1,Brasil,1020,Unidades,71,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,119293,Total
20,1,Brasil,1020,Unidades,61,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92563,Matadouro frigorífico
21,1,Brasil,1020,Unidades,4,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92564,Matadouro municipal
22,1,Brasil,1020,Unidades,16,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92565,Intermediários (salgadores)
23,1,Brasil,1020,Unidades,3,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92566,Outros curtumes
24,1,Brasil,1020,Unidades,-,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,92567,Outras origens
25,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,119293,Total
26,1,Brasil,2,Percentual,85.92,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92563,Matadouro frigorífico
27,1,Brasil,2,Percentual,5.63,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92564,Matadouro municipal
28,1,Brasil,2,Percentual,22.54,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92565,Intermediários (salgadores)
29,1,Brasil,2,Percentual,4.23,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92566,Outros curtumes
30,1,Brasil,2,Percentual,-,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,92567,Outras origens
31,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,119293,Total
32,1,Brasil,2,Percentual,85.92,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92563,Matadouro frigorífico
33,1,Brasil,2,Percentual,5.63,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92564,Matadouro municipal
34,1,Brasil,2,Percentual,22.54,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92565,Intermediários (salgadores)
35,1,Brasil,2,Percentual,4.23,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92566,Outros curtumes
36,1,Brasil,2,Percentual,-,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,92567,Outras origens
37,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,119293,Total
38,1,Brasil,2,Percentual,85.92,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,92563,Matadouro frigorífico
39,1,Brasil,2,Percentual,5.63,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,92564,Matadouro municipal
