,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal
1,1,Brasil,1020,Unidades,83,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
2,1,Brasil,1020,Unidades,83,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
3,1,Brasil,1020,Unidades,83,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
4,1,Brasil,1020,Unidades,83,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
5,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
6,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
7,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
8,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
9,1,Brasil,1020,Unidades,2247830,1,Brasil,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
10,1,Brasil,1020,Unidades,743693,1,Brasil,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
11,1,Brasil,1020,Unidades,693013,1,Brasil,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
12,1,Brasil,1020,Unidades,811124,1,Brasil,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
13,1,Brasil,2,Percentual,100.00,1,Brasil,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
14,1,Brasil,2,Percentual,33.08,1,Brasil,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
15,1,Brasil,2,Percentual,30.83,1,Brasil,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
16,1,Brasil,2,Percentual,36.08,1,Brasil,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
17,1,Brasil,1020,Unidades,11418900,1,Brasil,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
18,1,Brasil,1020,Unidades,3847997,1,Brasil,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
19,1,Brasil,1020,Unidades,3641967,1,Brasil,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
20,1,Brasil,1020,Unidades,3928936,1,Brasil,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
21,1,Brasil,2,Percentual,100.00,1,Brasil,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
22,1,Brasil,2,Percentual,33.70,1,Brasil,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
23,1,Brasil,2,Percentual,31.89,1,Brasil,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
24,1,Brasil,2,Percentual,34.41,1,Brasil,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
25,3,Unidade da Federação,1020,Unidades,4,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
26,3,Unidade da Federação,1020,Unidades,4,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
27,3,Unidade da Federação,1020,Unidades,4,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
28,3,Unidade da Federação,1020,Unidades,4,11,Rondônia,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
29,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
30,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
31,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
32,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
33,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
34,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
35,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
36,3,Unidade da Federação,1020,Unidades,-,11,Rondônia,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
37,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
38,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
39,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
40,3,Unidade da Federação,2,Percentual,-,11,Rondônia,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
41,3,Unidade da Federação,1020,Unidades,997458,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
42,3,Unidade da Federação,1020,Unidades,353050,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
43,3,Unidade da Federação,1020,Unidades,325824,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
44,3,Unidade da Federação,1020,Unidades,318584,11,Rondônia,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
45,3,Unidade da Federação,2,Percentual,100.00,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
46,3,Unidade da Federação,2,Percentual,35.39,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
47,3,Unidade da Federação,2,Percentual,32.67,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
48,3,Unidade da Federação,2,Percentual,31.94,11,Rondônia,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
49,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
50,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
51,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
52,3,Unidade da Federação,1020,Unidades,1,12,Acre,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
