,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,1,Brasil,30,Número-índice,7247.5400000000000,1,Brasil,1117,IPCA15 - Número-índice (base: dezembro de 1993 = 100),202511,novembro 2025
2,1,Brasil,2,%,0.20,1,Brasil,355,IPCA15 - Variação mensal,202511,novembro 2025
3,1,Brasil,2,%,0.86,1,Brasil,1118,IPCA15 - Variação acumulada em 3 meses,202511,novembro 2025
4,1,Brasil,2,%,1.32,1,Brasil,1119,IPCA15 - Variação acumulada em 6 meses,202511,novembro 2025
5,1,Brasil,2,%,4.15,1,Brasil,356,IPCA15 - Variação acumulada no ano,202511,novembro 2025
6,1,Brasil,2,%,4.50,1,Brasil,1120,IPCA15 - Variação acumulada em 12 meses,202511,novembro 2025
7,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
8,1,Brasil,30,Número-índice,7265.6600000000000,1,Brasil,1117,IPCA15 - Número-índice (base: dezembro de 1993 = 100),202512,dezembro 2025
9,1,Brasil,2,%,0.25,1,Brasil,355,IPCA15 - Variação mensal,202512,dezembro 2025
10,1,Brasil,2,%,0.63,1,Brasil,1118,IPCA15 - Variação acumulada em 3 meses,202512,dezembro 2025
11,1,Brasil,2,%,1.31,1,Brasil,1119,IPCA15 - Variação acumulada em 6 meses,202512,dezembro 2025
12,1,Brasil,2,%,4.41,1,Brasil,356,IPCA15 - Variação acumulada no ano,202512,dezembro 2025
13,1,Brasil,2,%,4.41,1,Brasil,1120,IPCA15 - Variação acumulada em 12 meses,202512,dezembro 2025
14,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
