,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de inspeção (Código),Tipo de inspeção
1,1,Brasil,1020,Unidades,1965,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
2,1,Brasil,1020,Unidades,645,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
3,1,Brasil,1020,Unidades,847,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
4,1,Brasil,1020,Unidades,473,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
5,1,Brasil,1020,Unidades,1965,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
6,1,Brasil,1020,Unidades,645,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
7,1,Brasil,1020,Unidades,847,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
8,1,Brasil,1020,Unidades,473,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
9,1,Brasil,1020,Unidades,1965,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
10,1,Brasil,1020,Unidades,645,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
11,1,Brasil,1020,Unidades,847,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
12,1,Brasil,1020,Unidades,473,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
13,1,Brasil,1020,Unidades,1965,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
14,1,Brasil,1020,Unidades,645,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
15,1,Brasil,1020,Unidades,847,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
16,1,Brasil,1020,Unidades,473,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
17,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
18,1,Brasil,2,Percentual,32.82,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
19,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
20,1,Brasil,2,Percentual,24.07,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
21,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
22,1,Brasil,2,Percentual,32.82,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
23,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
24,1,Brasil,2,Percentual,24.07,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
25,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
26,1,Brasil,2,Percentual,32.82,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
27,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
28,1,Brasil,2,Percentual,24.07,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
29,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
30,1,Brasil,2,Percentual,32.82,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
31,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
32,1,Brasil,2,Percentual,24.07,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
33,1,Brasil,25,Mil litros,7009022,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
34,1,Brasil,25,Mil litros,6155752,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
35,1,Brasil,25,Mil litros,728112,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
36,1,Brasil,25,Mil litros,125158,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
37,1,Brasil,25,Mil litros,2303212,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115233,No 1º mês,118225,Total
38,1,Brasil,25,Mil litros,2023754,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
39,1,Brasil,25,Mil litros,238766,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
40,1,Brasil,25,Mil litros,40693,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
41,1,Brasil,25,Mil litros,2366222,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115234,No 2º mês,118225,Total
42,1,Brasil,25,Mil litros,2078460,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
43,1,Brasil,25,Mil litros,245787,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
44,1,Brasil,25,Mil litros,41975,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
45,1,Brasil,25,Mil litros,2339588,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115235,No 3º mês,118225,Total
46,1,Brasil,25,Mil litros,2053538,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
47,1,Brasil,25,Mil litros,243559,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
48,1,Brasil,25,Mil litros,42490,1,Brasil,282,"Quantidade de leite cru, resfriado ou não, adquirido",202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
49,1,Brasil,2,Percentual,100.00,1,Brasil,1000282,"Quantidade de leite cru, resfriado ou não, adquirido - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
50,1,Brasil,2,Percentual,87.83,1,Brasil,1000282,"Quantidade de leite cru, resfriado ou não, adquirido - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
51,1,Brasil,2,Percentual,10.39,1,Brasil,1000282,"Quantidade de leite cru, resfriado ou não, adquirido - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
52,1,Brasil,2,Percentual,1.79,1,Brasil,1000282,"Quantidade de leite cru, resfriado ou não, adquirido - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
53,1,Brasil,2,Percentual,32.86,1,Brasil,1000282,"Quantidade de leite cru, resfriado ou não, adquirido - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês,118225,Total
