,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Finalidade da produção (Código),Finalidade da produção
1,1,Brasil,1020,Unidades,2092,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
2,1,Brasil,1020,Unidades,1138,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
3,1,Brasil,1020,Unidades,954,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
4,1,Brasil,1020,Unidades,2092,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
5,1,Brasil,1020,Unidades,1138,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
6,1,Brasil,1020,Unidades,954,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
7,1,Brasil,1020,Unidades,2092,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
8,1,Brasil,1020,Unidades,1138,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
9,1,Brasil,1020,Unidades,954,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
10,1,Brasil,1020,Unidades,2092,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
11,1,Brasil,1020,Unidades,1138,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
12,1,Brasil,1020,Unidades,954,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
13,1,Brasil,24,Cabeças,216534673,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
14,1,Brasil,24,Cabeças,170616738,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
15,1,Brasil,24,Cabeças,45917935,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
16,1,Brasil,24,Cabeças,215834664,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
17,1,Brasil,24,Cabeças,170062302,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
18,1,Brasil,24,Cabeças,45772362,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
19,1,Brasil,24,Cabeças,216650118,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
20,1,Brasil,24,Cabeças,170443109,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
21,1,Brasil,24,Cabeças,46207009,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
22,1,Brasil,24,Cabeças,217119238,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
23,1,Brasil,24,Cabeças,171344803,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
24,1,Brasil,24,Cabeças,45774435,1,Brasil,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
25,1,Brasil,23,Mil dúzias,1236668,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
26,1,Brasil,23,Mil dúzias,1015256,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
27,1,Brasil,23,Mil dúzias,221412,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
28,1,Brasil,23,Mil dúzias,413968,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
29,1,Brasil,23,Mil dúzias,340670,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
30,1,Brasil,23,Mil dúzias,73299,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
31,1,Brasil,23,Mil dúzias,412253,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
32,1,Brasil,23,Mil dúzias,338328,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
33,1,Brasil,23,Mil dúzias,73925,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
34,1,Brasil,23,Mil dúzias,410446,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
35,1,Brasil,23,Mil dúzias,336258,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
36,1,Brasil,23,Mil dúzias,74188,1,Brasil,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
37,1,Brasil,2,Percentual,100.00,1,Brasil,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
