,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre Móvel (Código),Trimestre Móvel
1,1,Brasil,38,Reais,3136,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201203,jan-fev-mar 2012
2,1,Brasil,38,Reais,2958,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201204,fev-mar-abr 2012
3,1,Brasil,38,Reais,2953,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201205,mar-abr-mai 2012
4,1,Brasil,38,Reais,2962,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201206,abr-mai-jun 2012
5,1,Brasil,38,Reais,2974,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201207,mai-jun-jul 2012
6,1,Brasil,38,Reais,2987,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201208,jun-jul-ago 2012
7,1,Brasil,38,Reais,2984,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201209,jul-ago-set 2012
8,1,Brasil,38,Reais,2986,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201210,ago-set-out 2012
9,1,Brasil,38,Reais,2981,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201211,set-out-nov 2012
10,1,Brasil,38,Reais,3007,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201212,out-nov-dez 2012
11,1,Brasil,38,Reais,3157,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201301,nov-dez-jan 2013
12,1,Brasil,38,Reais,3173,1,Brasil,5934,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",201302,dez-jan-fev 2013
