,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre Móvel (Código),Trimestre Móvel,Tipo de medida de subutilização da força de trabalho na semana de referência (Código),Tipo de medida de subutilização da força de trabalho na semana de referência
1,1,Brasil,1572,Mil pessoas,153031,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,31753,Total
2,1,Brasil,1572,Mil pessoas,101967,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,40287,Força de trabalho ampliada
3,1,Brasil,1572,Mil pessoas,97247,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,46255,Força de trabalho ou desalentado
4,1,Brasil,1572,Mil pessoas,21227,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,40286,Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas
5,1,Brasil,1572,Mil pessoas,14587,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,40285,Desocupado ou subocupado por insuficiência de horas trabalhadas
6,1,Brasil,1572,Mil pessoas,7613,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,31750,Desocupado
7,1,Brasil,1572,Mil pessoas,6974,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,31751,Subocupado por insuficiência de horas trabalhadas
8,1,Brasil,1572,Mil pessoas,14254,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,40284,Desocupado ou na força de trabalho potencial
9,1,Brasil,1572,Mil pessoas,6640,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,31752,Força de trabalho potencial
10,1,Brasil,1572,Mil pessoas,1921,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201203,jan-fev-mar 2012,46254,Desalentado
11,1,Brasil,1572,Mil pessoas,153203,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,31753,Total
12,1,Brasil,1572,Mil pessoas,102137,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,40287,Força de trabalho ampliada
13,1,Brasil,1572,Mil pessoas,97911,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,46255,Força de trabalho ou desalentado
14,1,Brasil,1572,Mil pessoas,20268,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,40286,Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas
15,1,Brasil,1572,Mil pessoas,14160,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,40285,Desocupado ou subocupado por insuficiência de horas trabalhadas
16,1,Brasil,1572,Mil pessoas,7493,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,31750,Desocupado
17,1,Brasil,1572,Mil pessoas,6666,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,31751,Subocupado por insuficiência de horas trabalhadas
18,1,Brasil,1572,Mil pessoas,13602,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,40284,Desocupado ou na força de trabalho potencial
19,1,Brasil,1572,Mil pessoas,6109,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,31752,Força de trabalho potencial
20,1,Brasil,1572,Mil pessoas,1883,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201204,fev-mar-abr 2012,46254,Desalentado
21,1,Brasil,1572,Mil pessoas,153386,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,31753,Total
22,1,Brasil,1572,Mil pessoas,102221,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,40287,Força de trabalho ampliada
23,1,Brasil,1572,Mil pessoas,98325,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,46255,Força de trabalho ou desalentado
24,1,Brasil,1572,Mil pessoas,19639,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,40286,Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas
25,1,Brasil,1572,Mil pessoas,13879,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,40285,Desocupado ou subocupado por insuficiência de horas trabalhadas
26,1,Brasil,1572,Mil pessoas,7403,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,31750,Desocupado
27,1,Brasil,1572,Mil pessoas,6477,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,31751,Subocupado por insuficiência de horas trabalhadas
28,1,Brasil,1572,Mil pessoas,13163,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,40284,Desocupado ou na força de trabalho potencial
29,1,Brasil,1572,Mil pessoas,5760,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,31752,Força de trabalho potencial
30,1,Brasil,1572,Mil pessoas,1864,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201205,mar-abr-mai 2012,46254,Desalentado
31,1,Brasil,1572,Mil pessoas,153563,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201206,abr-mai-jun 2012,31753,Total
32,1,Brasil,1572,Mil pessoas,102311,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201206,abr-mai-jun 2012,40287,Força de trabalho ampliada
33,1,Brasil,1572,Mil pessoas,98523,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201206,abr-mai-jun 2012,46255,Força de trabalho ou desalentado
34,1,Brasil,1572,Mil pessoas,19297,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201206,abr-mai-jun 2012,40286,Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas
35,1,Brasil,1572,Mil pessoas,13624,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,201206,abr-mai-jun 2012,40285,Desocupado ou subocupado por insuficiência de horas trabalhadas
