,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre,Tempo de permanência no trabalho principal (Código),Tempo de permanência no trabalho principal
1,1,Brasil,1572,Mil pessoas,102433,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
2,1,Brasil,1572,Mil pessoas,3372,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
3,1,Brasil,1572,Mil pessoas,21034,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
4,1,Brasil,1572,Mil pessoas,10486,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
5,1,Brasil,1572,Mil pessoas,67542,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
6,1,Brasil,2,%,0.2,1,Brasil,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
7,1,Brasil,2,%,1.9,1,Brasil,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
8,1,Brasil,2,%,0.7,1,Brasil,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
9,1,Brasil,2,%,1.0,1,Brasil,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
10,1,Brasil,2,%,0.3,1,Brasil,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
11,1,Brasil,2,%,100.0,1,Brasil,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
12,1,Brasil,2,%,3.3,1,Brasil,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
13,1,Brasil,2,%,20.5,1,Brasil,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
14,1,Brasil,2,%,10.2,1,Brasil,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
15,1,Brasil,2,%,65.9,1,Brasil,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
16,1,Brasil,2,%,-,1,Brasil,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
17,1,Brasil,2,%,1.9,1,Brasil,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
18,1,Brasil,2,%,0.7,1,Brasil,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
19,1,Brasil,2,%,1.0,1,Brasil,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
20,1,Brasil,2,%,0.2,1,Brasil,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
21,2,Grande Região,1572,Mil pessoas,8207,1,Norte,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
22,2,Grande Região,1572,Mil pessoas,372,1,Norte,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
23,2,Grande Região,1572,Mil pessoas,2014,1,Norte,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
24,2,Grande Região,1572,Mil pessoas,833,1,Norte,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
25,2,Grande Região,1572,Mil pessoas,4987,1,Norte,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
26,2,Grande Região,2,%,0.7,1,Norte,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
27,2,Grande Região,2,%,5.0,1,Norte,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
28,2,Grande Região,2,%,1.8,1,Norte,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40283,De 1 mês a menos de 1 ano
29,2,Grande Região,2,%,2.7,1,Norte,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,100693,De 1 ano a menos de 2 anos
30,2,Grande Região,2,%,1.1,1,Norte,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31656,2 anos ou mais
31,2,Grande Região,2,%,100.0,1,Norte,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,31314,Total
32,2,Grande Região,2,%,4.5,1,Norte,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202503,3º trimestre 2025,40282,Menos de 1 mês
