,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre,Posição na ocupação no trabalho principal (Código),Posição na ocupação no trabalho principal
1,1,Brasil,1550,Milhões de Reais,344408,1,Brasil,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
2,1,Brasil,1550,Milhões de Reais,232791,1,Brasil,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
3,1,Brasil,1550,Milhões de Reais,36516,1,Brasil,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
4,1,Brasil,1550,Milhões de Reais,75101,1,Brasil,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
5,1,Brasil,2,%,0.8,1,Brasil,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
6,1,Brasil,2,%,0.8,1,Brasil,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
7,1,Brasil,2,%,3.6,1,Brasil,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
8,1,Brasil,2,%,1.4,1,Brasil,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
9,1,Brasil,1550,Milhões de Reais,348103,1,Brasil,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
10,1,Brasil,1550,Milhões de Reais,238224,1,Brasil,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
11,1,Brasil,1550,Milhões de Reais,36397,1,Brasil,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
12,1,Brasil,1550,Milhões de Reais,73483,1,Brasil,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
13,1,Brasil,2,%,0.9,1,Brasil,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
14,1,Brasil,2,%,0.8,1,Brasil,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
15,1,Brasil,2,%,3.8,1,Brasil,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
16,1,Brasil,2,%,1.4,1,Brasil,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
17,2,Grande Região,1550,Milhões de Reais,20533,1,Norte,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
18,2,Grande Região,1550,Milhões de Reais,14573,1,Norte,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
19,2,Grande Região,1550,Milhões de Reais,1831,1,Norte,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
20,2,Grande Região,1550,Milhões de Reais,4129,1,Norte,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
21,2,Grande Região,2,%,1.9,1,Norte,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
22,2,Grande Região,2,%,2.1,1,Norte,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
23,2,Grande Região,2,%,9.8,1,Norte,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
24,2,Grande Região,2,%,2.4,1,Norte,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
25,2,Grande Região,1550,Milhões de Reais,20813,1,Norte,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
26,2,Grande Região,1550,Milhões de Reais,14879,1,Norte,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
27,2,Grande Região,1550,Milhões de Reais,1964,1,Norte,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
28,2,Grande Região,1550,Milhões de Reais,3971,1,Norte,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
29,2,Grande Região,2,%,1.9,1,Norte,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
30,2,Grande Região,2,%,2.1,1,Norte,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
31,2,Grande Região,2,%,10.8,1,Norte,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
32,2,Grande Região,2,%,2.6,1,Norte,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
33,2,Grande Região,1550,Milhões de Reais,53612,2,Nordeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
34,2,Grande Região,1550,Milhões de Reais,37600,2,Nordeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
35,2,Grande Região,1550,Milhões de Reais,5112,2,Nordeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
36,2,Grande Região,1550,Milhões de Reais,10899,2,Nordeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
37,2,Grande Região,2,%,1.8,2,Nordeste,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
38,2,Grande Região,2,%,1.7,2,Nordeste,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
39,2,Grande Região,2,%,6.5,2,Nordeste,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
40,2,Grande Região,2,%,2.4,2,Nordeste,8746,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
41,2,Grande Região,1550,Milhões de Reais,53921,2,Nordeste,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
42,2,Grande Região,1550,Milhões de Reais,38186,2,Nordeste,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
43,2,Grande Região,1550,Milhões de Reais,5096,2,Nordeste,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
44,2,Grande Região,1550,Milhões de Reais,10638,2,Nordeste,8747,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
45,2,Grande Região,2,%,1.8,2,Nordeste,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
46,2,Grande Região,2,%,1.7,2,Nordeste,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
47,2,Grande Região,2,%,6.7,2,Nordeste,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99358,Empregador
48,2,Grande Região,2,%,2.4,2,Nordeste,8748,"Coeficiente de variação - Massa de Rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",202503,3º trimestre 2025,99357,Conta própria
49,2,Grande Região,1550,Milhões de Reais,171434,3,Sudeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99383,Total
50,2,Grande Região,1550,Milhões de Reais,115976,3,Sudeste,8745,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",202503,3º trimestre 2025,99163,Empregado
