,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre
1,1,Brasil,2,%,2.4,1,Brasil,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
2,1,Brasil,2,%,2.1,1,Brasil,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
3,1,Brasil,1722,Ponto percentual,-0.1,1,Brasil,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
4,1,Brasil,1694,Nenhuma,A,1,Brasil,9922,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
5,1,Brasil,1722,Ponto percentual,-0.4,1,Brasil,9923,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
6,1,Brasil,1694,Nenhuma,Z,1,Brasil,9926,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
7,2,Grande Região,2,%,2.9,1,Norte,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
8,2,Grande Região,2,%,5.0,1,Norte,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
9,2,Grande Região,1722,Ponto percentual,-0.7,1,Norte,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
10,2,Grande Região,1694,Nenhuma,Z,1,Norte,9922,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
11,2,Grande Região,1722,Ponto percentual,-0.7,1,Norte,9923,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
12,2,Grande Região,1694,Nenhuma,Z,1,Norte,9926,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
13,2,Grande Região,2,%,6.0,2,Nordeste,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
14,2,Grande Região,2,%,2.4,2,Nordeste,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
15,2,Grande Região,1722,Ponto percentual,-0.2,2,Nordeste,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
16,2,Grande Região,1694,Nenhuma,A,2,Nordeste,9922,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
17,2,Grande Região,1722,Ponto percentual,-1.0,2,Nordeste,9923,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
18,2,Grande Região,1694,Nenhuma,Z,2,Nordeste,9926,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
19,2,Grande Região,2,%,1.1,3,Sudeste,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
20,2,Grande Região,2,%,5.4,3,Sudeste,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
21,2,Grande Região,1722,Ponto percentual,0.0,3,Sudeste,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
22,2,Grande Região,1694,Nenhuma,A,3,Sudeste,9922,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
23,2,Grande Região,1722,Ponto percentual,-0.1,3,Sudeste,9923,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
24,2,Grande Região,1694,Nenhuma,A,3,Sudeste,9926,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
25,2,Grande Região,2,%,0.8,4,Sul,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
26,2,Grande Região,2,%,7.0,4,Sul,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
27,2,Grande Região,1722,Ponto percentual,-0.1,4,Sul,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
28,2,Grande Região,1694,Nenhuma,A,4,Sul,9922,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
29,2,Grande Região,1722,Ponto percentual,-0.1,4,Sul,9923,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
30,2,Grande Região,1694,Nenhuma,A,4,Sul,9926,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
31,2,Grande Região,2,%,0.9,5,Centro-Oeste,9869,"Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
32,2,Grande Região,2,%,8.0,5,Centro-Oeste,9870,"Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
33,2,Grande Região,1722,Ponto percentual,0.0,5,Centro-Oeste,9919,"Variação em relação ao trimestre anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência",202503,3º trimestre 2025
