,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês,Ano da safra (Código),Ano da safra,Produto das lavouras (Código),Produto das lavouras
1,1,Brasil,33,Quilogramas por Hectare,4372,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39429,1.1 Algodão herbáceo
2,1,Brasil,33,Quilogramas por Hectare,2897,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39430,1.2 Amendoim (1ª Safra)
3,1,Brasil,33,Quilogramas por Hectare,1655,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39431,1.3 Amendoim (2ª Safra)
4,1,Brasil,33,Quilogramas por Hectare,6731,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39432,1.4 Arroz
5,1,Brasil,33,Quilogramas por Hectare,2061,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39433,1.5 Aveia
6,1,Brasil,33,Quilogramas por Hectare,1498,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39434,1.7 Centeio
7,1,Brasil,33,Quilogramas por Hectare,3547,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39435,1.8 Cevada
8,1,Brasil,33,Quilogramas por Hectare,715,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39436,1.9 Feijão (1ª Safra)
9,1,Brasil,33,Quilogramas por Hectare,1169,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39437,1.10 Feijão (2ª Safra)
10,1,Brasil,33,Quilogramas por Hectare,2813,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39438,1.11 Feijão (3ª Safra)
11,1,Brasil,33,Quilogramas por Hectare,1528,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39439,1.13 Girassol
12,1,Brasil,33,Quilogramas por Hectare,603,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39440,1.14 Mamona
13,1,Brasil,33,Quilogramas por Hectare,4899,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39441,1.15 Milho (1ª Safra)
14,1,Brasil,33,Quilogramas por Hectare,5505,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39442,1.16 Milho (2ª Safra)
15,1,Brasil,33,Quilogramas por Hectare,3149,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39443,1.17 Soja
16,1,Brasil,33,Quilogramas por Hectare,2996,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39444,1.18 Sorgo
17,1,Brasil,33,Quilogramas por Hectare,2547,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39445,1.19 Trigo
18,1,Brasil,33,Quilogramas por Hectare,2498,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39446,1.20 Triticale
19,1,Brasil,33,Quilogramas por Hectare,15169,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39449,4 Banana
20,1,Brasil,33,Quilogramas por Hectare,29758,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39450,5 Batata - inglesa (1ª Safra)
21,1,Brasil,33,Quilogramas por Hectare,33062,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39451,6 Batata - inglesa (2ª Safra)
22,1,Brasil,33,Quilogramas por Hectare,36999,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39452,7 Batata - inglesa (3ª Safra)
23,1,Brasil,33,Quilogramas por Hectare,455,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39453,8 Cacau
24,1,Brasil,33,Quilogramas por Hectare,1550,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39454,9 Café arábica
25,1,Brasil,33,Quilogramas por Hectare,2525,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39455,10 Café canephora
26,1,Brasil,33,Quilogramas por Hectare,76655,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39456,11 Cana-de-açúcar
27,1,Brasil,33,Quilogramas por Hectare,358,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39457,12 Castanha-de-caju
28,1,Brasil,33,Quilogramas por Hectare,1901,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39460,15 Fumo
29,1,Brasil,33,Quilogramas por Hectare,-,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39462,17 Juta
30,1,Brasil,33,Quilogramas por Hectare,23311,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39463,18 Laranja
31,1,Brasil,33,Quilogramas por Hectare,15476,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39467,21 Mandioca
32,1,Brasil,33,Quilogramas por Hectare,75656,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39470,24 Tomate
33,1,Brasil,33,Quilogramas por Hectare,21387,1,Brasil,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39471,25 Uva
34,1,Brasil,33,Quilogramas por Hectare,4608,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39429,1.1 Algodão herbáceo
35,1,Brasil,33,Quilogramas por Hectare,3595,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39430,1.2 Amendoim (1ª Safra)
36,1,Brasil,33,Quilogramas por Hectare,2293,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39431,1.3 Amendoim (2ª Safra)
37,1,Brasil,33,Quilogramas por Hectare,7211,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39432,1.4 Arroz
38,1,Brasil,33,Quilogramas por Hectare,2324,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39433,1.5 Aveia
39,1,Brasil,33,Quilogramas por Hectare,1748,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39434,1.7 Centeio
40,1,Brasil,33,Quilogramas por Hectare,4400,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39435,1.8 Cevada
41,1,Brasil,33,Quilogramas por Hectare,830,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39436,1.9 Feijão (1ª Safra)
42,1,Brasil,33,Quilogramas por Hectare,1165,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39437,1.10 Feijão (2ª Safra)
43,1,Brasil,33,Quilogramas por Hectare,2686,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39438,1.11 Feijão (3ª Safra)
44,1,Brasil,33,Quilogramas por Hectare,1686,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39439,1.13 Girassol
45,1,Brasil,33,Quilogramas por Hectare,629,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39440,1.14 Mamona
46,1,Brasil,33,Quilogramas por Hectare,5841,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39441,1.15 Milho (1ª Safra)
47,1,Brasil,33,Quilogramas por Hectare,6494,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39442,1.16 Milho (2ª Safra)
48,1,Brasil,33,Quilogramas por Hectare,3480,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39443,1.17 Soja
49,1,Brasil,33,Quilogramas por Hectare,3496,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39444,1.18 Sorgo
50,1,Brasil,33,Quilogramas por Hectare,3289,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39445,1.19 Trigo
51,1,Brasil,33,Quilogramas por Hectare,3055,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39446,1.20 Triticale
52,1,Brasil,33,Quilogramas por Hectare,15713,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39449,4 Banana
53,1,Brasil,33,Quilogramas por Hectare,32476,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39450,5 Batata - inglesa (1ª Safra)
54,1,Brasil,33,Quilogramas por Hectare,33553,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39451,6 Batata - inglesa (2ª Safra)
55,1,Brasil,33,Quilogramas por Hectare,38726,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39452,7 Batata - inglesa (3ª Safra)
56,1,Brasil,33,Quilogramas por Hectare,458,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39453,8 Cacau
57,1,Brasil,33,Quilogramas por Hectare,1428,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39454,9 Café arábica
58,1,Brasil,33,Quilogramas por Hectare,2961,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39455,10 Café canephora
59,1,Brasil,33,Quilogramas por Hectare,74163,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39456,11 Cana-de-açúcar
