,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês,Produto das lavouras (Código),Produto das lavouras
1,1,Brasil,1006,Hectares,97590700,1,Brasil,109,Área plantada,202511,novembro 2025,0,Total
2,1,Brasil,1006,Hectares,82075160,1,Brasil,109,Área plantada,202511,novembro 2025,39428,"1 Cereais, leguminosas e oleaginosas"
3,1,Brasil,1006,Hectares,2145429,1,Brasil,109,Área plantada,202511,novembro 2025,39429,1.1 Algodão herbáceo
4,1,Brasil,1006,Hectares,338255,1,Brasil,109,Área plantada,202511,novembro 2025,39430,1.2 Amendoim (1ª Safra)
5,1,Brasil,1006,Hectares,15062,1,Brasil,109,Área plantada,202511,novembro 2025,39431,1.3 Amendoim (2ª Safra)
6,1,Brasil,1006,Hectares,1753028,1,Brasil,109,Área plantada,202511,novembro 2025,39432,1.4 Arroz
7,1,Brasil,1006,Hectares,595935,1,Brasil,109,Área plantada,202511,novembro 2025,39433,1.5 Aveia
8,1,Brasil,1006,Hectares,5250,1,Brasil,109,Área plantada,202511,novembro 2025,39434,1.7 Centeio
9,1,Brasil,1006,Hectares,138065,1,Brasil,109,Área plantada,202511,novembro 2025,39435,1.8 Cevada
10,1,Brasil,1006,Hectares,1298094,1,Brasil,109,Área plantada,202511,novembro 2025,39436,1.9 Feijão (1ª Safra)
11,1,Brasil,1006,Hectares,1126179,1,Brasil,109,Área plantada,202511,novembro 2025,39437,1.10 Feijão (2ª Safra)
12,1,Brasil,1006,Hectares,282696,1,Brasil,109,Área plantada,202511,novembro 2025,39438,1.11 Feijão (3ª Safra)
13,1,Brasil,1006,Hectares,62061,1,Brasil,109,Área plantada,202511,novembro 2025,39439,1.13 Girassol
