,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Variável (Código),Variável,Mês (Código),Mês,Tipo de projeto (Código),Tipo de projeto,Padrão de acabamento (Código),Padrão de acabamento
1,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",786,Alto
2,3,Unidade da Federação,38,Reais,2109.80,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",787,Normal
3,3,Unidade da Federação,38,Reais,1485.64,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",788,Baixo
4,3,Unidade da Federação,38,Reais,1281.43,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",789,Mínimo
5,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",786,Alto
6,3,Unidade da Federação,38,Reais,2366.69,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",787,Normal
7,3,Unidade da Federação,38,Reais,1661.97,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",788,Baixo
8,3,Unidade da Federação,38,Reais,1434.87,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",789,Mínimo
9,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
10,3,Unidade da Federação,38,Reais,2342.94,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",787,Normal
11,3,Unidade da Federação,38,Reais,1693.87,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
12,3,Unidade da Federação,38,Reais,1483.98,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
13,3,Unidade da Federação,38,Reais,2494.83,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",786,Alto
14,3,Unidade da Federação,38,Reais,2005.90,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",787,Normal
15,3,Unidade da Federação,38,Reais,1406.85,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
16,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7090,"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
17,3,Unidade da Federação,38,Reais,2373.16,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",786,Alto
18,3,Unidade da Federação,38,Reais,1912.98,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",787,Normal
19,3,Unidade da Federação,38,Reais,1324.19,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",788,Baixo
20,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7091,"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",789,Mínimo
21,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",786,Alto
22,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",787,Normal
23,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",788,Baixo
24,3,Unidade da Federação,38,Reais,2755.78,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7092,"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",789,Mínimo
25,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",786,Alto
26,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",787,Normal
27,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",788,Baixo
28,3,Unidade da Federação,38,Reais,3436.06,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7093,"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",789,Mínimo
29,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",786,Alto
30,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",787,Normal
31,3,Unidade da Federação,38,Reais,2083.66,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",788,Baixo
32,3,Unidade da Federação,38,Reais,1859.36,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7094,"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",789,Mínimo
33,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",786,Alto
34,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",787,Normal
35,3,Unidade da Federação,38,Reais,2072.54,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",788,Baixo
36,3,Unidade da Federação,38,Reais,1844.89,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7095,"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",789,Mínimo
37,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",786,Alto
38,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",787,Normal
39,3,Unidade da Federação,38,Reais,1867.91,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",788,Baixo
40,3,Unidade da Federação,38,Reais,1645.60,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7096,"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",789,Mínimo
41,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",786,Alto
42,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",787,Normal
43,3,Unidade da Federação,38,Reais,1907.12,11,Rondônia,51,Custo de projeto m²,202511,novembro 2025,7097,"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro",788,Baixo
