,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês
1,1,Brasil,38,Reais,2005.97,1,Brasil,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
2,1,Brasil,38,Reais,1078.63,1,Brasil,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
3,1,Brasil,38,Reais,927.34,1,Brasil,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
4,1,Brasil,30,Número-índice,1003.20,1,Brasil,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
5,1,Brasil,30,Número-índice,816.61,1,Brasil,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
6,1,Brasil,30,Número-índice,1463.71,1,Brasil,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
7,1,Brasil,2,%,0.25,1,Brasil,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
8,1,Brasil,2,%,5.21,1,Brasil,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
9,1,Brasil,2,%,5.43,1,Brasil,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
10,2,Grande Região,38,Reais,2060.17,1,Norte,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
11,2,Grande Região,38,Reais,1176.63,1,Norte,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
12,2,Grande Região,38,Reais,883.54,1,Norte,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
13,2,Grande Região,30,Número-índice,1026.61,1,Norte,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
14,2,Grande Região,30,Número-índice,869.56,1,Norte,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
15,2,Grande Região,30,Número-índice,1424.57,1,Norte,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
16,2,Grande Região,2,%,0.18,1,Norte,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
17,2,Grande Região,2,%,4.72,1,Norte,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
18,2,Grande Região,2,%,5.01,1,Norte,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
19,2,Grande Região,38,Reais,1860.90,2,Nordeste,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
20,2,Grande Região,38,Reais,1047.04,2,Nordeste,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
21,2,Grande Região,38,Reais,813.86,2,Nordeste,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
22,2,Grande Região,30,Número-índice,1005.11,2,Nordeste,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
23,2,Grande Região,30,Número-índice,807.60,2,Nordeste,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
24,2,Grande Região,30,Número-índice,1575.22,2,Nordeste,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
25,2,Grande Região,2,%,0.16,2,Nordeste,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
26,2,Grande Região,2,%,5.36,2,Nordeste,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
27,2,Grande Região,2,%,5.53,2,Nordeste,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
28,2,Grande Região,38,Reais,2057.42,3,Sudeste,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
29,2,Grande Região,38,Reais,1058.05,3,Sudeste,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
30,2,Grande Região,38,Reais,999.37,3,Sudeste,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
31,2,Grande Região,30,Número-índice,984.28,3,Sudeste,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
32,2,Grande Região,30,Número-índice,803.03,3,Sudeste,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
33,2,Grande Região,30,Número-índice,1395.23,3,Sudeste,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
34,2,Grande Região,2,%,0.32,3,Sudeste,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
35,2,Grande Região,2,%,4.82,3,Sudeste,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
36,2,Grande Região,2,%,5.03,3,Sudeste,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
37,2,Grande Região,38,Reais,2159.46,4,Sul,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
38,2,Grande Região,38,Reais,1119.00,4,Sul,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
39,2,Grande Região,38,Reais,1040.46,4,Sul,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
40,2,Grande Região,30,Número-índice,1032.54,4,Sul,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
41,2,Grande Região,30,Número-índice,830.95,4,Sul,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
42,2,Grande Região,30,Número-índice,1522.51,4,Sul,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
43,2,Grande Região,2,%,0.35,4,Sul,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
44,2,Grande Região,2,%,5.71,4,Sul,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
45,2,Grande Região,2,%,5.95,4,Sul,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
46,2,Grande Região,38,Reais,2026.22,5,Centro-Oeste,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
47,2,Grande Região,38,Reais,1120.50,5,Centro-Oeste,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
48,2,Grande Região,38,Reais,905.72,5,Centro-Oeste,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
49,2,Grande Região,30,Número-índice,1034.11,5,Centro-Oeste,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
50,2,Grande Região,30,Número-índice,853.15,5,Centro-Oeste,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
